Timestamp[nanosec],fx[px],fy[px],Frame No.,Exposure time[nanosec],Sensor frame duration[nanosec],Frame readout time[nanosec],ISO,Focal length,Focus distance,AF mode
5050347997484,2836.0657,2836.0657,45414,2898550,33333333,11896875,65,6.92,0.5117707,1
5050381292224,2836.0657,2836.0657,45415,2898550,33333333,11896875,65,6.92,0.5117707,1
5050414586964,2836.0657,2836.0657,45416,2898550,33333333,11896875,65,6.92,0.5117707,1
5050447881703,2836.0657,2836.0657,45417,2898550,33333333,11896875,65,6.92,0.5117707,1
5050481176391,2836.0657,2836.0657,45418,2898550,33333333,11896875,65,6.92,0.5117707,1
5050514471130,2836.0657,2836.0657,45419,2898550,33333333,11896875,65,6.92,0.5117707,1
5050547765870,2836.0657,2836.0657,45420,2898550,33333333,11896875,65,6.92,0.5117707,1
5050581060609,2836.0657,2836.0657,45421,2898550,33333333,11896875,65,6.92,0.5117707,1
5050614355297,2836.0657,2836.0657,45422,2898550,33333333,11896875,65,6.92,0.5117707,1
5050647650036,2836.0657,2836.0657,45423,2898550,33333333,11896875,65,6.92,0.5117707,1
5050680944776,2836.0657,2836.0657,45424,2898550,33333333,11896875,65,6.92,0.5117707,1
5050714239516,2836.0657,2836.0657,45425,2898550,33333333,11896875,65,6.92,0.5117707,1
5050747534203,2836.0657,2836.0657,45426,2898550,33333333,11896875,65,6.92,0.5117707,1
5050780828943,2836.0657,2836.0657,45427,2898550,33333333,11896875,65,6.92,0.5117707,1
5050814123682,2836.0657,2836.0657,45428,2898550,33333333,11896875,65,6.92,0.5117707,1
5050847418422,2836.0657,2836.0657,45429,2898550,33333333,11896875,65,6.92,0.5117707,1
5050880713109,2836.0657,2836.0657,45430,2898550,33333333,11896875,65,6.92,0.5117707,1
5050914007849,2836.0657,2836.0657,45431,2898550,33333333,11896875,65,6.92,0.5117707,1
5050947302589,2836.0657,2836.0657,45432,2898550,33333333,11896875,65,6.92,0.5117707,1
5050980597328,2836.0657,2836.0657,45433,2898550,33333333,11896875,65,6.92,0.5117707,1
5051013892016,2836.0657,2836.0657,45434,2898550,33333333,11896875,65,6.92,0.5117707,1
5051047186755,2836.0657,2836.0657,45435,2898550,33333333,11896875,65,6.92,0.5117707,1
5051080481495,2836.0657,2836.0657,45436,2898550,33333333,11896875,65,6.92,0.5117707,1
5051113776234,2836.0657,2836.0657,45437,2898550,33333333,11896875,65,6.92,0.5117707,1
5051147070922,2836.0657,2836.0657,45438,2898550,33333333,11896875,65,6.92,0.5117707,1
5051180365661,2836.0657,2836.0657,45439,2898550,33333333,11896875,65,6.92,0.5117707,1
5051213660401,2836.0657,2836.0657,45440,2898550,33333333,11896875,65,6.92,0.5117707,1
5051246955141,2836.0657,2836.0657,45441,2898550,33333333,11896875,65,6.92,0.5117707,1
5051280249828,2836.0657,2836.0657,45442,2898550,33333333,11896875,65,6.92,0.5117707,1
5051313544568,2836.0657,2836.0657,45443,2898550,33333333,11896875,65,6.92,0.5117707,1
5051346839307,2836.0657,2836.0657,45444,2898550,33333333,11896875,65,6.92,0.5117707,1
5051380134047,2836.0657,2836.0657,45445,2898550,33333333,11896875,65,6.92,0.5117707,1
5051413428734,2836.0657,2836.0657,45446,2898550,33333333,11896875,65,6.92,0.5117707,1
5051446723474,2836.0657,2836.0657,45447,2898550,33333333,11896875,65,6.92,0.5117707,1
5051480018214,2836.0657,2836.0657,45448,2898550,33333333,11896875,65,6.92,0.5117707,1
5051513312953,2836.0657,2836.0657,45449,2898550,33333333,11896875,65,6.92,0.5117707,1
5051546607641,2836.0657,2836.0657,45450,2898550,33333333,11896875,65,6.92,0.5117707,1
5051579902380,2836.0657,2836.0657,45451,2898550,33333333,11896875,65,6.92,0.5117707,1
5051613197120,2836.0657,2836.0657,45452,2898550,33333333,11896875,65,6.92,0.5117707,1
5051646491859,2836.0657,2836.0657,45453,2898550,33333333,11896875,65,6.92,0.5117707,1
5051679786547,2836.0657,2836.0657,45454,2898550,33333333,11896875,65,6.92,0.5117707,1
5051713081286,2836.0657,2836.0657,45455,2898550,33333333,11896875,65,6.92,0.5117707,1
5051746376026,2836.0657,2836.0657,45456,2898550,33333333,11896875,65,6.92,0.5117707,1
5051779670766,2836.0657,2836.0657,45457,2898550,33333333,11896875,65,6.92,0.5117707,1
5051812965453,2836.0657,2836.0657,45458,2898550,33333333,11896875,65,6.92,0.5117707,1
5051846260193,2836.0657,2836.0657,45459,2898550,33333333,11896875,65,6.92,0.5117707,1
5051879554932,2836.0657,2836.0657,45460,2898550,33333333,11896875,65,6.92,0.5117707,1
5051912849672,2836.0657,2836.0657,45461,2898550,33333333,11896875,65,6.92,0.5117707,1
5051946144359,2836.0657,2836.0657,45462,2898550,33333333,11896875,65,6.92,0.5117707,1
5051979439099,2836.0657,2836.0657,45463,2898550,33333333,11896875,65,6.92,0.5117707,1
5052012733839,2836.0657,2836.0657,45464,2898550,33333333,11896875,65,6.92,0.5117707,1
5052046028578,2836.0657,2836.0657,45465,2898550,33333333,11896875,65,6.92,0.5117707,1
5052079323266,2836.0657,2836.0657,45466,2898550,33333333,11896875,65,6.92,0.5117707,1
5052112618005,2836.0657,2836.0657,45467,2898550,33333333,11896875,65,6.92,0.5117707,1
5052145912745,2836.0657,2836.0657,45468,2898550,33333333,11896875,65,6.92,0.5117707,1
5052179207484,2836.0657,2836.0657,45469,2898550,33333333,11896875,65,6.92,0.5117707,1
5052212502172,2836.0657,2836.0657,45470,2898550,33333333,11896875,65,6.92,0.5117707,1
5052245796911,2836.0657,2836.0657,45471,2898550,33333333,11896875,65,6.92,0.5117707,1
5052279091651,2836.0657,2836.0657,45472,2898550,33333333,11896875,65,6.92,0.5117707,1
5052312386391,2836.0657,2836.0657,45473,2898550,33333333,11896875,65,6.92,0.5117707,1
5052345681078,2836.0657,2836.0657,45474,2898550,33333333,11896875,65,6.92,0.5117707,1
5052378975818,2836.0657,2836.0657,45475,2898550,33333333,11896875,65,6.92,0.5117707,1
5052412270557,2836.0657,2836.0657,45476,2898550,33333333,11896875,65,6.92,0.5117707,1
5052445565297,2836.0657,2836.0657,45477,2898550,33333333,11896875,65,6.92,0.5117707,1
5052478859984,2836.0657,2836.0657,45478,2898550,33333333,11896875,65,6.92,0.5117707,1
5052512154724,2836.0657,2836.0657,45479,2898550,33333333,11896875,65,6.92,0.5117707,1
5052545449464,2836.0657,2836.0657,45480,2898550,33333333,11896875,65,6.92,0.5117707,1
5052578744203,2836.0657,2836.0657,45481,2898550,33333333,11896875,65,6.92,0.5117707,1
5052612038891,2836.0657,2836.0657,45482,2898550,33333333,11896875,65,6.92,0.5117707,1
5052645333630,2836.0657,2836.0657,45483,2898550,33333333,11896875,65,6.92,0.5117707,1
